######################################################
#             2D Heat Conduction Solver              #
#              Created by J. Mark Epps               #
#          Part of Masters Thesis at UW 2018-2020    #
######################################################

Reading input file...
################################
Initializing geometry package...
################################
Initializing MPI and solver...
################################
Initializing domain...
################################
Saving input file to output directory...
################################

Saving data to numpy array files...
Solving:
Time step 13300, Step size=0.0000024ms, Time elapsed=0.000032s;
Time step 13400, Step size=0.0000024ms, Time elapsed=0.000032s;
Time step 13500, Step size=0.0000024ms, Time elapsed=0.000032s;
Time step 13600, Step size=0.0000024ms, Time elapsed=0.000032s;
Time step 13700, Step size=0.0000024ms, Time elapsed=0.000033s;
Time step 13800, Step size=0.0000024ms, Time elapsed=0.000033s;
Time step 13900, Step size=0.0000024ms, Time elapsed=0.000033s;
Time step 14000, Step size=0.0000024ms, Time elapsed=0.000033s;
Time step 14100, Step size=0.0000024ms, Time elapsed=0.000033s;
Time step 14200, Step size=0.0000024ms, Time elapsed=0.000034s;
Time step 14300, Step size=0.0000024ms, Time elapsed=0.000034s;
Time step 14400, Step size=0.0000024ms, Time elapsed=0.000034s;
Time step 14500, Step size=0.0000024ms, Time elapsed=0.000034s;
Time step 14600, Step size=0.0000024ms, Time elapsed=0.000035s;
Time step 14700, Step size=0.0000024ms, Time elapsed=0.000035s;
Time step 14800, Step size=0.0000024ms, Time elapsed=0.000035s;
Time step 14900, Step size=0.0000024ms, Time elapsed=0.000035s;
Time step 15000, Step size=0.0000024ms, Time elapsed=0.000036s;
Time step 15100, Step size=0.0000024ms, Time elapsed=0.000036s;
Time step 15200, Step size=0.0000024ms, Time elapsed=0.000036s;
Time step 15300, Step size=0.0000024ms, Time elapsed=0.000036s;
Time step 15400, Step size=0.0000024ms, Time elapsed=0.000037s;
Time step 15500, Step size=0.0000024ms, Time elapsed=0.000037s;
Time step 15600, Step size=0.0000024ms, Time elapsed=0.000037s;
Time step 15700, Step size=0.0000024ms, Time elapsed=0.000037s;
Time step 15800, Step size=0.0000024ms, Time elapsed=0.000038s;
Time step 15900, Step size=0.0000024ms, Time elapsed=0.000038s;
Time step 16000, Step size=0.0000024ms, Time elapsed=0.000038s;
Time step 16100, Step size=0.0000024ms, Time elapsed=0.000038s;
Time step 16200, Step size=0.0000024ms, Time elapsed=0.000038s;
Time step 16300, Step size=0.0000024ms, Time elapsed=0.000039s;
Time step 16400, Step size=0.0000024ms, Time elapsed=0.000039s;
Time step 16500, Step size=0.0000024ms, Time elapsed=0.000039s;
Time step 16600, Step size=0.0000024ms, Time elapsed=0.000039s;
Time step 16700, Step size=0.0000024ms, Time elapsed=0.000040s;
Time step 16800, Step size=0.0000024ms, Time elapsed=0.000040s;
Saving data to numpy array files...
Time step 16900, Step size=0.0000024ms, Time elapsed=0.000040s;
Time step 17000, Step size=0.0000024ms, Time elapsed=0.000040s;
Time step 17100, Step size=0.0000024ms, Time elapsed=0.000041s;
Time step 17200, Step size=0.0000024ms, Time elapsed=0.000041s;
Time step 17300, Step size=0.0000024ms, Time elapsed=0.000041s;
Time step 17400, Step size=0.0000024ms, Time elapsed=0.000041s;
Time step 17500, Step size=0.0000024ms, Time elapsed=0.000042s;
Time step 17600, Step size=0.0000024ms, Time elapsed=0.000042s;
Time step 17700, Step size=0.0000024ms, Time elapsed=0.000042s;
Time step 17800, Step size=0.0000024ms, Time elapsed=0.000042s;
Time step 17900, Step size=0.0000024ms, Time elapsed=0.000042s;
Time step 18000, Step size=0.0000024ms, Time elapsed=0.000043s;
Time step 18100, Step size=0.0000024ms, Time elapsed=0.000043s;
Time step 18200, Step size=0.0000024ms, Time elapsed=0.000043s;
Time step 18300, Step size=0.0000024ms, Time elapsed=0.000043s;
Time step 18400, Step size=0.0000024ms, Time elapsed=0.000044s;
Time step 18500, Step size=0.0000024ms, Time elapsed=0.000044s;
Time step 18600, Step size=0.0000024ms, Time elapsed=0.000044s;
Time step 18700, Step size=0.0000024ms, Time elapsed=0.000044s;
Time step 18800, Step size=0.0000024ms, Time elapsed=0.000045s;
